job_id,job_name
JOB001,백엔드 개발자(웹사이트)
JOB002,프론트엔드 개발자(웹사이트)
JOB003,게임 개발자
JOB004,임베디드 개발자
JOB005,정보보안 전문가
JOB006,네트워크 및 시스템 엔지니어
JOB007,데이터 엔지니어
JOB008,데이터 분석가
JOB009,AI 엔지니어
JOB010,데이터 사이언티스트
JOB011,클라우드 엔지니어
JOB012,앱개발자
JOB013,UI/UX 디자이너
